game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Fight Night Round 4,https://psnprofiles.com/guide/2701-fight-night-round-4-trophy-guide,PS3,1/10,10,0.09%,"16,081",3/5,14,13
That's You!,https://psnprofiles.com/guide/6202-thats-you-trophy-guide,PS4,1/10,7,1.65%,"56,012",4/5,17,76
Oh...Sir! The Insult Simulator,https://psnprofiles.com/guide/7470-ohsir-the-insult-simulator-trophy-guide,PS4,1/10,100,2.50%,"23,046",5/5,5,24
Ultimate Chicken Horse,https://psnprofiles.com/guide/18735-ultimate-chicken-horse-trophy-guide,PS4,1/10,15,4.49%,"2,806",,0,5
First Class Trouble,https://psnprofiles.com/guide/13227-first-class-trouble-trophy-guide,PS5,1/10,10,5.41%,"14,128",5/5,5,21
Farming Simulator 22,https://psnprofiles.com/guide/13412-farming-simulator-22-trophy-guide,PS5,1/10,50,6.18%,"190,102",5/5,11,101
Danganronpa S: Ultimate Summer Camp,https://psnprofiles.com/guide/15499-danganronpa-s-ultimate-summer-camp-trophy-guide,PS4,1/10,120,7.45%,"14,042",,0,13
International Cricket 2010,https://psnprofiles.com/guide/341-international-cricket-2010-trophy-guide,PS3,1/10,25,13.90%,"3,348",,0,5
Are You Smarter Than A 5th Grader?,https://psnprofiles.com/guide/15675-are-you-smarter-than-a-5th-grader-trophy-guide,PS5,1/10,10,15.14%,"5,302",,0,8
Minecraft: Story Mode,https://psnprofiles.com/guide/3828-minecraft-story-mode-trophy-guide,PS4,1/10,8,15.26%,"53,865",5/5,23,67
Ashes Cricket 2009,https://psnprofiles.com/guide/340-ashes-cricket-2009-trophy-guide,PS3,1/10,20,15.90%,"4,970",,0,5
Lifeless Planet,https://psnprofiles.com/guide/4729-lifeless-planet-trophy-guide,PS4,1/10,10,16.60%,"14,152",5/5,5,25
Cricket 22,https://psnprofiles.com/guide/18458-cricket-22-trophy-guide,PS5,1/10,10,17.95%,"2,094",,0,3
Best Month Ever!,https://psnprofiles.com/guide/15665-best-month-ever-trophy-guide,PS4,1/10,7,19.01%,"3,921",,0,5
Gigantosaurus,https://psnprofiles.com/guide/16656-gigantosaurus-trophy-guide,PS4,1/10,5,19.82%,"2,062",,0,6
Grim Fandango,https://psnprofiles.com/guide/2715-grim-fandango-trophy-guide,PS4 Vita,1/10,13,20.63%,"104,593",5/5,55,306
Before Your Eyes,https://psnprofiles.com/guide/18454-before-your-eyes-trophy-guide,PS5 VR,1/10,2,21.12%,"4,599",,0,8
Eastshade,https://psnprofiles.com/guide/16618-eastshade-trophy-guide,PS4,1/10,15,22.41%,"2,532",,0,3
Kentucky Route Zero,https://psnprofiles.com/guide/11058-kentucky-route-zero-trophy-guide,PS4,1/10,8,24.28%,"7,579",,0,14
Barbie and Her Sisters Puppy Rescue,https://psnprofiles.com/guide/3674-barbie-and-her-sisters-puppy-rescue-trophy-guide,PS3,1/10,8,24.74%,"7,630",,0,15
Oxenfree,https://psnprofiles.com/guide/5306-oxenfree-trophy-guide,PS4,1/10,12,24.85%,"86,617",5/5,36,131
As Dusk Falls,https://psnprofiles.com/guide/19003-as-dusk-falls-trophy-guide,PS5,1/10,9,25.78%,"4,796",,0,12
Hakuoki: Stories of the Shinsengumi,https://psnprofiles.com/guide/901-hakuoki-stories-of-the-shinsengumi-trophy-guide,PS3,1/10,10,26.94%,"17,525",4/5,15,25
Date A Live: Rio Reincarnation,https://psnprofiles.com/guide/11161-date-a-live-rio-reincarnation-trophy-guide,PS4,1/10,30,26.96%,"15,479",,0,18
Farm Together,https://psnprofiles.com/guide/12116-farm-together-trophy-guide,PS4,1/10,110,28.81%,"9,908",5/5,6,6
The Great Ace Attorney Chronicles,https://psnprofiles.com/guide/12622-the-great-ace-attorney-chronicles-trophy-guide,PS4,1/10,50,29.42%,"64,384",5/5,6,32
Milky Way Prince: The Vampire Star,https://psnprofiles.com/guide/19349-milky-way-prince-the-vampire-star-trophy-guide,PS4,1/10,3,30.00%,"1,063",,0,7
Obduction,https://psnprofiles.com/guide/7101-obduction-trophy-guide,PS4,1/10,10,30.58%,"13,982",,0,15
Heavy Fire: Afghanistan,https://psnprofiles.com/guide/35-heavy-fire-afghanistan-trophy-guide,PS3,1/10,5,30.79%,"5,787",3/5,7,5
Shape of the World,https://psnprofiles.com/guide/11624-shape-of-the-world-trophy-guide,PS4,1/10,10,31.49%,"8,743",,0,7
Life is Strange,https://psnprofiles.com/guide/4060-life-is-strange-trophy-guide,PS4,1/10,10,32.32%,"209,605",5/5,127,374
Trine 2,https://psnprofiles.com/guide/54-trine-2-trophy-guide,PS3,1/10,5,33.47%,"18,288",5/5,10,89
Neko Atsume,https://psnprofiles.com/guide/7518-neko-atsume-trophy-guide,PS4,1/10,200,34.42%,"5,724",,0,7
Job Simulator,https://psnprofiles.com/guide/6637-job-simulator-trophy-guide,PS4 VR,1/10,4,35.93%,"37,680",5/5,5,22
World Quiz,https://psnprofiles.com/guide/14531-world-quiz-trophy-guide,PS4,1/10,10,36.77%,"11,206",,0,8
The Wolf Among Us,https://psnprofiles.com/guide/639-the-wolf-among-us-trophy-guide,PS3,1/10,10,37.06%,"143,041",5/5,39,174
We Are OFK,https://psnprofiles.com/guide/15198-we-are-ofk-trophy-guide,PS5,1/10,9,37.10%,"8,240",,0,5
Gylt,https://psnprofiles.com/guide/17330-gylt-trophy-guide,PS5,1/10,3,38.54%,"9,468",,0,12
Tokyo Dark: Remembrance,https://psnprofiles.com/guide/11023-tokyo-dark-remembrance-trophy-guide,PS4,1/10,12,39.83%,"20,365",4/5,12,8
Red Matter,https://psnprofiles.com/guide/19565-red-matter-trophy-guide,PS4 VR,1/10,3,40.29%,668,,0,2
Steins;Gate,https://psnprofiles.com/guide/2966-steinsgate-trophy-guide,Vita,1/10,30,41.08%,"98,818",5/5,27,178
Grotto,https://psnprofiles.com/guide/18864-grotto-trophy-guide,PS5,1/10,6,42.11%,981,,0,6
OneShot,https://psnprofiles.com/guide/17328-oneshot-trophy-guide,PS4,1/10,10,42.35%,"5,852",,0,12
Doki Doki Literature Club Plus!,https://psnprofiles.com/guide/12453-doki-doki-literature-club-plus-trophy-guide,PS5,1/10,15,42.79%,"152,629",5/5,13,98
Angels of Death,https://psnprofiles.com/guide/12179-angels-of-death-trophy-guide,PS4,1/10,8,43.42%,"12,656",,0,7
Beyond Blue,https://psnprofiles.com/guide/16386-beyond-blue-trophy-guide,PS4,1/10,4,43.70%,"3,587",,0,15
Act It Out XL!,https://psnprofiles.com/guide/11792-act-it-out-xl-trophy-guide,PS4,1/10,10,47.44%,"3,661",,0,2
PJ Masks: Heroes of the Night,https://psnprofiles.com/guide/18060-pj-masks-heroes-of-the-night-trophy-guide,PS4,1/10,5,49.24%,"5,853",,0,9
√Letter,https://psnprofiles.com/guide/5383-letter-trophy-guide,Vita,1/10,15,52.61%,"40,721",5/5,9,73
Road 96,https://psnprofiles.com/guide/14266-road-96-trophy-guide,PS5,1/10,8,53.45%,"53,995",5/5,11,48
Clannad,https://psnprofiles.com/guide/7896-clannad-trophy-guide,PS4,1/10,40,55.56%,"22,229",5/5,5,27
Music Racer,https://psnprofiles.com/guide/9977-music-racer-trophy-guide,PS4,1/10,5,55.73%,"16,911",4/5,6,11
Steins;Gate: My Darling's Embrace,https://psnprofiles.com/guide/9859-steinsgate-my-darlings-embrace-trophy-guide,PS4,1/10,30,56.12%,"2,102",,0,8
Return of the Obra Dinn,https://psnprofiles.com/guide/15541-return-of-the-obra-dinn-trophy-guide,PS4,1/10,12,56.33%,"7,193",,0,17
Batman: The Telltale Series,https://psnprofiles.com/guide/9847-batman-the-telltale-series-trophy-guide,PS4,1/10,8,56.36%,"60,064",4/5,35,54
The House In Fata Morgana,https://psnprofiles.com/guide/8745-the-house-in-fata-morgana-trophy-guide,PS4,1/10,1,56.65%,"27,308",,0,19
Nightmares from the Deep: The Cursed Heart,https://psnprofiles.com/guide/4798-nightmares-from-the-deep-the-cursed-heart-trophy-guide,PS4,1/10,6,56.82%,"15,748",4/5,9,18
Bratz: Flaunt Your Fashion,https://psnprofiles.com/guide/15505-bratz-flaunt-your-fashion-trophy-guide,PS5,1/10,5,56.90%,"45,922",,0,6
Burly Men At Sea,https://psnprofiles.com/guide/10620-burly-men-at-sea-trophy-guide,PS4 Vita,1/10,3,57.79%,"51,212",4/5,34,47
Horror Tales: The Wine,https://psnprofiles.com/guide/17639-horror-tales-the-wine-trophy-guide,PS5,1/10,2,58.37%,"3,722",,0,6
Pantsu Hunter: Back to the 90s,https://psnprofiles.com/guide/8974-pantsu-hunter-back-to-the-90s-trophy-guide,PS4,1/10,5,58.74%,"31,443",,0,21
Bad Apple Wars,https://psnprofiles.com/guide/6730-bad-apple-wars-trophy-guide,Vita,1/10,15,59.16%,"14,176",5/5,6,21
Telling Lies,https://psnprofiles.com/guide/10139-telling-lies-trophy-guide,PS4,1/10,3,59.18%,"115,682",3/5,16,63
Hakuoki: Kyoto Winds,https://psnprofiles.com/guide/6415-hakuoki-kyoto-winds-trophy-guide,Vita,1/10,6,60.40%,"13,765",4/5,9,22
Root Film,https://psnprofiles.com/guide/12035-root-film-trophy-guide,PS4,1/10,8,60.62%,"23,161",,0,15
Toem,https://psnprofiles.com/guide/15169-toem-trophy-guide,PS5,1/10,8,63.59%,"63,422",5/5,37,81
Witch on the Holy Night,https://psnprofiles.com/guide/15712-witch-on-the-holy-night-trophy-guide,PS4,1/10,30,63.65%,"15,488",5/5,5,10
The Walking Dead,https://psnprofiles.com/guide/1826-the-walking-dead-trophy-guide,Vita,1/10,10,64.44%,"58,289",5/5,7,58
Snakeybus,https://psnprofiles.com/guide/13122-snakeybus-trophy-guide,PS4,1/10,2,64.46%,"5,866",5/5,5,6
Video Poker,https://psnprofiles.com/guide/17738-video-poker-trophy-guide,PS4,1/10,1,65.41%,"1,974",,0,1
Five Dates,https://psnprofiles.com/guide/12193-five-dates-trophy-guide,PS4,1/10,6,66.18%,"19,747",,0,9
Hakuoki: Edo Blossoms,https://psnprofiles.com/guide/7354-hakuoki-edo-blossoms-trophy-guide,Vita,1/10,40,66.20%,"14,290",,0,12
Lost Words: Beyond the Page,https://psnprofiles.com/guide/14910-lost-words-beyond-the-page-trophy-guide,PS4,1/10,5,66.25%,"28,734",5/5,10,33
Nurse Love Addiction,https://psnprofiles.com/guide/7400-nurse-love-addiction-trophy-guide,Vita,1/10,22,66.25%,"14,306",4/5,7,18
Plastic Memories,https://psnprofiles.com/guide/5903-plastic-memories-trophy-guide,Vita,1/10,30,66.98%,"4,194",,0,9
Magus,https://psnprofiles.com/guide/1103-magus-trophy-guide,PS3,1/10,5,68.51%,"24,488",5/5,17,23
Unpacking,https://psnprofiles.com/guide/14423-unpacking-trophy-guide,PS5,1/10,4,68.68%,"163,230",5/5,16,97
Muv-Luv Alternative,https://psnprofiles.com/guide/7801-muv-luv-alternative-trophy-guide,Vita,1/10,30,68.83%,"10,116",,0,14
Period Cube: Shackles of Amadeus,https://psnprofiles.com/guide/9448-period-cube-shackles-of-amadeus-trophy-guide,Vita,1/10,30,71.01%,"4,706",,0,4
Super Soccer Blast,https://psnprofiles.com/guide/10614-super-soccer-blast-trophy-guide,PS4,1/10,3,71.10%,"3,468",5/5,5,8
Aer: Memories of Old,https://psnprofiles.com/guide/13041-aer-memories-of-old-trophy-guide,PS4,1/10,2,71.73%,"18,918",5/5,8,18
Megamind: Ultimate Showdown,https://psnprofiles.com/guide/1081-megamind-ultimate-showdown-trophy-guide,PS3,1/10,5,71.98%,"13,342",4/5,8,18
Insomnis,https://psnprofiles.com/guide/14176-insomnis-trophy-guide,PS4,1/10,2,72.56%,"11,706",,0,7
映画 五等分の花嫁　～君と過ごした五つの思い出～,https://psnprofiles.com/guide/14650-%E6%98%A0%E7%94%BB-%E4%BA%94%E7%AD%89%E5%88%86%E3%81%AE%E8%8A%B1%E5%AB%81-%E5%90%9B%E3%81%A8%E9%81%8E%E3%81%94%E3%81%97%E3%81%9F%E4%BA%94%E3%81%A4%E3%81%AE%E6%80%9D%E3%81%84%E5%87%BA-trophy-guide,PS4,1/10,15,74.02%,"4,447",,0,4
Black & White Bushido,https://psnprofiles.com/guide/6056-black-white-bushido-trophy-guide,PS4,1/10,1,74.21%,"14,041",,0,27
Psychedelica of the Ashen Hawk,https://psnprofiles.com/guide/7590-psychedelica-of-the-ashen-hawk-trophy-guide,Vita,1/10,4,74.29%,"12,475",,0,6
The Little Acre,https://psnprofiles.com/guide/5454-the-little-acre-trophy-guide,PS4,1/10,1,74.44%,"25,124",5/5,17,42
Code: Realize - Wintertide Miracles,https://psnprofiles.com/guide/11342-code-realize-wintertide-miracles-trophy-guide,PS4 Vita,1/10,30,74.53%,"8,924",,0,10
Pinball Heroes,https://psnprofiles.com/guide/15899-pinball-heroes-trophy-guide,PS5,1/10,1,75.46%,"28,757",5/5,5,12
JoJo Siwa: Worldwide Party,https://psnprofiles.com/guide/15968-jojo-siwa-worldwide-party-trophy-guide,PS5,1/10,2,75.81%,"5,242",,0,6
Code: Realize - Future Blessings,https://psnprofiles.com/guide/8544-code-realize-future-blessings-trophy-guide,Vita,1/10,10,76.42%,"10,029",,0,11
My Friend Peppa Pig,https://psnprofiles.com/guide/14188-my-friend-peppa-pig-trophy-guide,PS4,1/10,1,77.01%,"97,719",5/5,17,37
Yumeutsutsu Re:Master,https://psnprofiles.com/guide/11951-yumeutsutsu-remaster-trophy-guide,Vita,1/10,30,77.03%,"7,889",,0,9
Color Slayer,https://psnprofiles.com/guide/10210-color-slayer-trophy-guide,PS4,1/10,5,77.65%,"11,528",,0,8
Peppa Pig: World Adventures,https://psnprofiles.com/guide/16417-peppa-pig-world-adventures-trophy-guide,PS5,1/10,3,78.00%,"9,209",,0,8
The Walking Dead: A New Frontier,https://psnprofiles.com/guide/6197-the-walking-dead-a-new-frontier-trophy-guide,PS4,1/10,10,78.63%,"25,639",3/5,18,21
The Suicide of Rachel Foster,https://psnprofiles.com/guide/10797-the-suicide-of-rachel-foster-trophy-guide,PS4,1/10,3,80.63%,"44,165",5/5,13,41
Donut County,https://psnprofiles.com/guide/7773-donut-county-trophy-guide,PS4,1/10,3,82.27%,"118,479",4/5,16,76
Ultra Mission,https://psnprofiles.com/guide/12634-ultra-mission-trophy-guide,Vita,1/10,1,83.62%,"8,769",,0,2
Yumeutsutsu Re:After,https://psnprofiles.com/guide/12137-yumeutsutsu-reafter-trophy-guide,Vita,1/10,15,83.69%,"5,179",,0,7
Muv-Luv Alternative: Total Eclipse,https://psnprofiles.com/guide/3970-muv-luv-alternative-total-eclipse-trophy-guide,PS3,1/10,1,85.78%,"2,498",,0,5
MechaNika,https://psnprofiles.com/guide/14575-mechanika-trophy-guide,PS4,1/10,2,86.73%,"2,649",,0,4
Evan's Remains,https://psnprofiles.com/guide/12704-evans-remains-trophy-guide,PS4,1/10,3,87.40%,"6,462",,0,10
The Light in the Darkness,https://psnprofiles.com/guide/16859-the-light-in-the-darkness-trophy-guide,PS5,1/10,2,87.47%,"25,651",5/5,11,15
Neon Junctions,https://psnprofiles.com/guide/8723-neon-junctions-trophy-guide,PS4,1/10,1,87.51%,"13,911",,0,10
Warlock's Tower,https://psnprofiles.com/guide/10195-warlocks-tower-trophy-guide,PS4,1/10,2,88.58%,"14,032",,0,12
A Castle Full of Cats,https://psnprofiles.com/guide/17497-a-castle-full-of-cats-trophy-guide,PS4,1/10,2,88.74%,"9,374",,0,4
Hentai vs. Evil,https://psnprofiles.com/guide/14629-hentai-vs-evil-trophy-guide,PS5,1/10,1,89.35%,"5,279",,0,4
Bouncy Bullets,https://psnprofiles.com/guide/8887-bouncy-bullets-trophy-guide,Vita,1/10,1,89.61%,"16,525",,0,10
Super Box Delivery: Beyond the Horizon,https://psnprofiles.com/guide/18397-super-box-delivery-beyond-the-horizon-trophy-guide,PS4,1/10,1,89.63%,"1,818",,0,4
Hentai vs. Evil,https://psnprofiles.com/guide/12272-hentai-vs-evil-trophy-guide,PS4,1/10,1,90.83%,"15,469",,0,6
Alphaset by POWGI,https://psnprofiles.com/guide/11295-alphaset-by-powgi-trophy-guide,Vita,1/10,1,92.11%,"8,508",,0,11
Heroes Trials,https://psnprofiles.com/guide/8266-heroes-trials-trophy-guide,PS4,1/10,1,92.57%,"14,028",,0,18
Concept Destruction,https://psnprofiles.com/guide/11160-concept-destruction-trophy-guide,PS4,1/10,1,93.02%,"18,604",,0,9
Gleylancer,https://psnprofiles.com/guide/13118-gleylancer-trophy-guide,PS5,1/10,1,93.17%,"8,263",,0,6
Super Destronaut: Land Wars,https://psnprofiles.com/guide/10099-super-destronaut-land-wars-trophy-guide,PS4,1/10,1,93.30%,"14,976",,0,5
Nubla,https://psnprofiles.com/guide/5411-nubla-trophy-guide,PS4,1/10,1,93.44%,"29,231",,0,28
Crypto by POWGI,https://psnprofiles.com/guide/10266-crypto-by-powgi-trophy-guide,PS4,1/10,2,93.45%,"8,657",,0,13
The Labyrinth of Grisaia,https://psnprofiles.com/guide/3949-the-labyrinth-of-grisaia-trophy-guide,Vita,1/10,1,93.52%,"3,504",,0,5
Feather,https://psnprofiles.com/guide/10930-feather-trophy-guide,PS4,1/10,1,93.92%,"8,777",,0,8
Lydia,https://psnprofiles.com/guide/14287-lydia-trophy-guide,PS4,1/10,1,94.01%,"7,127",,0,8
Energy Cycle,https://psnprofiles.com/guide/7820-energy-cycle-trophy-guide,PS4,1/10,1,94.34%,"32,051",5/5,7,21
Mr. Massagy,https://psnprofiles.com/guide/5923-mr-massagy-trophy-guide,PS4,1/10,1,94.61%,"33,763",5/5,17,30
My Name is Mayo,https://psnprofiles.com/guide/5320-my-name-is-mayo-trophy-guide,PS4,1/10,1,94.87%,"112,151",4/5,48,45
Robozarro,https://psnprofiles.com/guide/10461-robozarro-trophy-guide,PS4,1/10,1,94.94%,"7,053",,0,1
Super Wiloo Demake,https://psnprofiles.com/guide/9144-super-wiloo-demake-trophy-guide,PS4,1/10,1,95.84%,"18,673",,0,8
Little Adventure on the Prairie,https://psnprofiles.com/guide/7128-little-adventure-on-the-prairie-trophy-guide,PS4,1/10,1,96.13%,"19,720",5/5,10,18
Sakura Succubus,https://psnprofiles.com/guide/14215-sakura-succubus-trophy-guide,PS4,1/10,3,96.22%,"6,748",,0,12
My Name is Mayo 3,https://psnprofiles.com/guide/16133-my-name-is-mayo-3-trophy-guide,PS4,1/10,1,96.65%,"19,767",,0,8
Mochi Mochi Boy,https://psnprofiles.com/guide/10105-mochi-mochi-boy-trophy-guide,PS4,1/10,1,96.71%,"15,738",,0,12
Milo's Quest,https://psnprofiles.com/guide/10453-milos-quest-trophy-guide,PS4,1/10,1,96.84%,"19,420",4/5,7,10
My Name is Mayo 2,https://psnprofiles.com/guide/11229-my-name-is-mayo-2-trophy-guide,PS4,1/10,1,97.13%,"69,397",5/5,20,19
Without Escape,https://psnprofiles.com/guide/9549-without-escape-trophy-guide,PS4,1/10,1,97.28%,"27,665",,0,14
FullBlast,https://psnprofiles.com/guide/7798-fullblast-trophy-guide,PS4,1/10,1,97.28%,"20,731",,0,16
Sakura Succubus 2,https://psnprofiles.com/guide/14213-sakura-succubus-2-trophy-guide,PS4,1/10,3,97.41%,"3,340",,0,8
Blind Men,https://psnprofiles.com/guide/10220-blind-men-trophy-guide,PS4,1/10,1,97.44%,"22,819",,0,12
112th Seed,https://psnprofiles.com/guide/10558-112th-seed-trophy-guide,PS4,1/10,1,97.44%,"16,201",,0,8
Slyde,https://psnprofiles.com/guide/7426-slyde-trophy-guide,PS4,1/10,1,97.48%,"59,105",5/5,23,38
Sakura Nova,https://psnprofiles.com/guide/14646-sakura-nova-trophy-guide,PS5,1/10,3,97.91%,"4,201",,0,6
Storm Boy,https://psnprofiles.com/guide/17756-storm-boy-trophy-guide,PS4,1/10,1,98.00%,"5,497",,0,9
Road Bustle,https://psnprofiles.com/guide/10779-road-bustle-trophy-guide,PS4,1/10,1,98.07%,"30,774",5/5,6,15
Jack N' Jill DX,https://psnprofiles.com/guide/10166-jack-n-jill-dx-trophy-guide,PS4,1/10,1,98.77%,"21,967",5/5,7,16
Sakura Succubus 5,https://psnprofiles.com/guide/14548-sakura-succubus-5-trophy-guide,PS5,1/10,3,98.90%,"6,089",,0,10
Chickens On The Road,https://psnprofiles.com/guide/11308-chickens-on-the-road-trophy-guide,PS4,1/10,1,98.99%,"25,309",,0,18
Takorita Meets Fries,https://psnprofiles.com/guide/13160-takorita-meets-fries-trophy-guide,PS5,1/10,1,99.02%,"5,245",,0,5
Quick Mafs,https://psnprofiles.com/guide/13152-quick-mafs-trophy-guide,PS5,1/10,1,99.30%,"15,433",,0,9
Hajwala,https://psnprofiles.com/guide/19210-hajwala-races-dlc-trophy-guide,PS4,1/10,1,,761,,0,1
Hell Let Loose,https://psnprofiles.com/guide/19026-hell-let-loose-basic-training-dlc-trophy-guide,PS5,1/10,1,,923,,0,1
CAT Interstellar,https://psnprofiles.com/guide/16663-cat-interstellar-trophy-guide,PS4,1/10,1,,942,,0,1
Arcade Archives: City Connection,https://psnprofiles.com/guide/8702-arcade-archives-city-connection-trophy-guide,PS4,1/10,1,,965,,0,1
Paraiso Island,https://psnprofiles.com/guide/12830-paraiso-island-trophy-guide,PS4,1/10,1,,"14,607",4/5,5,8
Hot Wheels Unleashed,https://psnprofiles.com/guide/14558-hot-wheels-unleashed-hot-wheels-monster-trucks-expansion-dlc-trophy-guide,PS4,1/10,1,,"6,814",,0,3
Hot Wheels Unleashed 2: Turbocharged,https://psnprofiles.com/guide/19329-hot-wheels-unleashed-2-turbocharged-hot-wheels-unleashed-2-turbocharged-fast-furious-expansion-dlc-trophy-guide,PS5,1/10,1,,"1,351",,0,1
Roblox,https://psnprofiles.com/guide/18479-roblox-trophy-guide,PS4,1/10,1,,"10,328",5/5,8,7
One Eyed Kutkh,https://psnprofiles.com/guide/8641-one-eyed-kutkh-trophy-guide,PS4,1/10,1,,"5,609",,0,2
Rocket League,https://psnprofiles.com/guide/3206-rocket-league-utopia-coliseum-dlc-trophy-guide,PS4,1/10,1,,"26,521",4/5,18,17
Dragon Age: Origins,https://psnprofiles.com/guide/1865-dragon-age-origins-return-to-ostagar-dlc-trophy-guide,PS3,1/10,1,,"6,755",,0,9
It's Spring Again,https://psnprofiles.com/guide/7194-its-spring-again-trophy-guide,Vita,1/10,1,,"7,023",5/5,7,16
Frogger Returns,https://psnprofiles.com/guide/470-frogger-returns-trophy-guide,PS3,1/10,1,,"13,261",,0,7
Disco Elysium,https://psnprofiles.com/guide/16469-disco-elysium-collage-mode-dlc-trophy-guide,PS5,1/10,1,,"8,978",3/5,7,2
Dragon Age: Origins,https://psnprofiles.com/guide/1863-dragon-age-origins-wardens-keep-dlc-trophy-guide,PS3,1/10,1,,"7,637",4/5,5,10
LEGO Batman 3: Beyond Gotham,https://psnprofiles.com/guide/15722-lego-batman-3-beyond-gotham-dark-knight-dlc-trophy-guide,PS4,1/10,1,,"3,070",5/5,5,2
Gabbuchi,https://psnprofiles.com/guide/14847-gabbuchi-trophy-guide,PS4,1/10,1,,"11,003",4/5,5,3
Pacific Wings,https://psnprofiles.com/guide/9026-pacific-wings-trophy-guide,PS4,1/10,1,,"5,786",,0,2
A Night in the Forum VR,https://psnprofiles.com/guide/9821-a-night-in-the-forum-vr-trophy-guide,PS4 VR,1/10,1,,"2,231",,0,1
Killing Floor 2,https://psnprofiles.com/guide/5888-killing-floor-2-post-launch-content-dlc-trophy-guide,PS4,1/10,1,,"14,555",4/5,16,9
Fractured Minds,https://psnprofiles.com/guide/9344-fractured-minds-trophy-guide,PS4,1/10,1,,"14,404",,0,5
Hajwala,https://psnprofiles.com/guide/9931-hajwala-trophy-guide,PS4,1/10,1,,"4,123",,0,0
Super Bomberman R Online,https://psnprofiles.com/guide/12290-super-bomberman-r-online-trophy-guide,PS4,1/10,1,,"14,922",,0,11
Dragon Ball Xenoverse 2,https://psnprofiles.com/guide/7951-dragon-ball-xenoverse-2-version-112-additional-dlc-trophy-guide,PS4,1/10,1,,"44,748",,0,2
Tiny Troopers: Joint Ops,https://psnprofiles.com/guide/6303-tiny-troopers-joint-ops-tiny-troopers-joint-ops-zombie-campaign-dlc-trophy-guide,PS4 PS3 Vita,1/10,1,,"3,176",,0,4
ドリームクラブホストガール　オンステージ,https://psnprofiles.com/guide/10988-%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%AF%E3%83%A9%E3%83%96%E3%83%9B%E3%82%B9%E3%83%88%E3%82%AC%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%B3%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8-trophy-guide,PS4,1/10,1,,"5,087",,0,3
Laid-Back Camp: Virtual - Lake Motosu,https://psnprofiles.com/guide/11791-laid-back-camp-virtual-lake-motosu-trophy-guide,PS4,1/10,1,,"2,611",,0,2
Warframe,https://psnprofiles.com/guide/7835-warframe-update-25-dlc-trophy-guide,PS4,1/10,1,,"4,816",,0,4
Sound Shapes,https://psnprofiles.com/guide/6545-sound-shapes-acoustic-sound-dlc-trophy-guide,PS4,1/10,1,,"8,492",,0,5
The Playroom,https://psnprofiles.com/guide/278-the-playroom-trophy-guide,PS4,1/10,1,,"56,959",5/5,24,66
Space Explore,https://psnprofiles.com/guide/13100-space-explore-trophy-guide,PS4,1/10,1,,"6,458",,0,1
Sound Shapes,https://psnprofiles.com/guide/793-sound-shapes-brass-sound-dlc-trophy-guide,PS4,1/10,1,,"8,067",5/5,5,4
Burnout Paradise,https://psnprofiles.com/guide/2238-burnout-paradise-party-dlc-trophy-guide,PS3,1/10,1,,"18,009",,0,7
Sound Shapes,https://psnprofiles.com/guide/1315-sound-shapes-hohokum-art-and-sound-dlc-trophy-guide,PS3,1/10,1,,"10,049",4/5,18,8
Fallout 4,https://psnprofiles.com/guide/4555-fallout-4-contraptions-workshop-dlc-trophy-guide,PS4,1/10,1,,"45,429",5/5,15,31
Burnout Paradise,https://psnprofiles.com/guide/2240-burnout-paradise-toy-cars-dlc-trophy-guide,PS3,1/10,1,,"16,979",,0,9
The Playroom,https://psnprofiles.com/guide/983-the-playroom-my-alien-buddy-dlc-trophy-guide,PS4,1/10,1,,"12,643",5/5,8,10
Push Me Pull You,https://psnprofiles.com/guide/10292-push-me-pull-you-trophy-guide,PS4,1/10,1,,"1,160",,0,4
LEGO Batman 3: Beyond Gotham,https://psnprofiles.com/guide/15747-lego-batman-3-beyond-gotham-man-of-steel-dlc-trophy-guide,PS4,1/10,1,,"3,356",5/5,5,1
Rocket League,https://psnprofiles.com/guide/5890-rocket-league-dropshot-dlc-trophy-guide,PS4,1/10,1,,"32,525",5/5,25,27
Act It Out! A Game of Charades,https://psnprofiles.com/guide/8875-act-it-out-a-game-of-charades-trophy-guide,PS4,1/10,1,,"5,961",4/5,9,5
Daytona USA,https://psnprofiles.com/guide/9268-daytona-usa-trophy-guide,PS3,1/10,1,,"9,315",4/5,9,6
The Playroom,https://psnprofiles.com/guide/2179-the-playroom-toy-maker-dlc-trophy-guide,PS4,1/10,1,,"15,558",5/5,10,12
Spice and Wolf VR 2,https://psnprofiles.com/guide/11653-spice-and-wolf-vr-2-trophy-guide,PS4,1/10,1,,"3,544",,0,2
NBA 2K19: The Prelude,https://psnprofiles.com/guide/7782-nba-2k19-the-prelude-trophy-guide,PS4,1/10,1,,"11,387",5/5,6,4
Marvel Heroes Omega,https://psnprofiles.com/guide/6274-marvel-heroes-omega-spider-man-dlc-trophy-guide,PS4,1/10,1,,"3,831",,0,3
Coaster,https://psnprofiles.com/guide/10480-coaster-trophy-guide,PS4 VR,1/10,1,,"6,432",,0,2
