game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Velocity 2X,https://psnprofiles.com/guide/5550-velocity-2x-critical-urgency-dlc-trophy-guide,PS4 Vita,8/10,2,,"3,814",,0,4
Velocity 2X,https://psnprofiles.com/guide/5551-velocity-2x-dual-core-dlc-trophy-guide,PS4 Vita,8/10,3,,"3,796",,0,4
DJMax Respect,https://psnprofiles.com/guide/10044-djmax-respect-v-extension-dlc-trophy-guide,PS4,8/10,5,,"4,893",,0,1
Five Nights at Freddy's,https://psnprofiles.com/guide/9398-five-nights-at-freddys-trophy-guide,PS4,8/10,5,,"63,056",5/5,5,18
Gran Turismo 6,https://psnprofiles.com/guide/15823-gran-turismo-6-ayrton-senna-tribute-dlc-trophy-guide,PS3,8/10,5,,"4,189",,0,3
Metal Gear Rising: Revengeance,https://psnprofiles.com/guide/15209-metal-gear-rising-revengeance-vr-mission-expansion-dlc-trophy-guide,PS3,8/10,8,,"4,722",5/5,5,3
Jurassic World Evolution,https://psnprofiles.com/guide/15343-jurassic-world-evolution-cretaceous-challenges-dlc-trophy-guide,PS4,8/10,8,,"2,191",5/5,5,1
Deep Rock Galactic,https://psnprofiles.com/guide/13606-deep-rock-galactic-deep-dives-dlc-trophy-guide,PS5,8/10,8,,"6,987",,0,3
Enter The Gungeon,https://psnprofiles.com/guide/8680-enter-the-gungeon-advanced-gungeons-and-draguns-dlc-trophy-guide,PS4,8/10,10,,"15,965",5/5,6,5
DJMax Respect,https://psnprofiles.com/guide/7599-djmax-respect-black-square-dlc-trophy-guide,PS4,8/10,10,,"5,934",,0,2
DJMax Respect,https://psnprofiles.com/guide/7598-djmax-respect-technika-dlc-trophy-guide,PS4,8/10,10,,"6,645",,0,3
Space Channel 5 Part 2,https://psnprofiles.com/guide/94-space-channel-5-part-2-trophy-guide,PS3,8/10,10,,"3,968",,0,3
DJMax Respect,https://psnprofiles.com/guide/7592-djmax-respect-clazziquai-edition-dlc-trophy-guide,PS4,8/10,10,,"5,473",,0,3
